Ticket;OpenTime;CloseTime;Type;Symbol;Volume;OpenPrice;ClosePrice;Commission;Swap;Profit;NetProfit;Balance;Duration_Minutes;MagicNumber;Comment
3;2010.01.19 12:05:00;2010.01.19 13:22:34;Sell;EURUSD;0.50;1.43090;1.42941;0.00;0.00;52.12;52.12;10052.12;77;161348;sl 1.42940
5;2010.01.20 18:05:00;2010.01.21 10:11:35;Sell;EURUSD;0.50;1.40865;1.40706;0.00;2.87;56.50;59.37;10111.49;966;161348;sl 1.40706
7;2010.01.29 18:10:00;2010.02.04 09:10:21;Sell;EURUSD;0.50;1.38678;1.38560;0.00;5.82;42.58;48.40;10159.89;8100;161348;sl 1.38560
9;2010.02.04 16:20:00;2010.02.04 17:29:52;Sell;EURUSD;0.50;1.37858;1.37708;0.00;0.00;54.46;54.46;10214.35;69;161348;sl 1.37708
11;2010.02.04 17:40:00;2010.02.04 17:45:39;Sell;EURUSD;0.50;1.37577;1.37401;0.00;0.00;64.05;64.05;10278.40;5;161348;sl 1.37400
13;2010.02.18 03:00:00;2010.02.18 08:50:25;Sell;EURUSD;0.50;1.35651;1.35506;0.00;0.00;53.50;53.50;10331.90;350;161348;sl 1.35505
15;2010.02.25 04:00:00;2010.02.25 05:35:51;Sell;EURUSD;0.50;1.34814;1.34619;0.00;0.00;72.43;72.43;10404.33;95;161348;sl 1.34619
19;2010.03.18 17:05:00;2010.03.19 11:11:00;Sell;EURUSD;0.50;1.35939;1.35705;0.00;0.99;86.22;87.21;10491.54;1086;161348;sl 1.35702
21;2010.03.19 12:15:00;2010.03.19 13:36:30;Sell;EURUSD;0.50;1.35637;1.35479;0.00;0.00;58.31;58.31;10549.85;81;161348;sl 1.35476
22;2010.03.17 08:05:00;2010.03.24 06:05:00;Buy;EURUSD;0.10;1.38084;1.34475;0.00;-4.37;-268.38;-272.75;10277.10;9960;161348;
23;2010.03.17 08:15:00;2010.03.24 06:15:00;Buy;EURUSD;0.10;1.38076;1.34159;0.00;-4.37;-291.97;-296.34;9980.76;9960;161348;
26;2010.03.30 17:00:00;2010.03.30 17:18:05;Sell;EURUSD;0.50;1.34219;1.34094;0.00;0.00;46.61;46.61;10027.37;18;161348;sl 1.34093
27;2010.03.30 17:05:00;2010.03.31 04:24:28;Sell;EURUSD;0.50;1.34146;1.34040;0.00;1.00;39.54;40.54;10067.91;679;161348;sl 1.34040
29;2010.04.06 02:05:00;2010.04.06 03:57:32;Sell;EURUSD;0.50;1.34619;1.34356;0.00;0.00;97.87;97.87;10165.78;112;161348;sl 1.34355
32;2010.04.08 03:25:00;2010.04.08 09:54:37;Sell;EURUSD;0.50;1.33159;1.32966;0.00;0.00;72.57;72.57;10238.35;389;161348;sl 1.32964
33;2010.04.08 03:35:00;2010.04.08 09:54:37;Sell;EURUSD;0.50;1.33145;1.32966;0.00;0.00;67.31;67.31;10305.66;379;161348;sl 1.32964
35;2010.04.19 03:00:00;2010.04.19 04:37:48;Sell;EURUSD;0.50;1.34676;1.34569;0.00;0.00;39.76;39.76;10345.42;97;161348;sl 1.34568
37;2010.04.19 05:40:00;2010.04.19 11:28:37;Sell;EURUSD;0.50;1.34560;1.34374;0.00;0.00;69.21;69.21;10414.63;348;161348;sl 1.34373
39;2010.04.22 13:20:00;2010.04.22 15:42:15;Sell;EURUSD;0.50;1.33314;1.33052;0.00;0.00;98.46;98.46;10513.09;142;161348;sl 1.33051
41;2010.05.04 11:15:00;2010.05.04 13:50:26;Sell;EURUSD;0.50;1.31270;1.30990;0.00;0.00;106.88;106.88;10619.97;155;161348;sl 1.30990
44;2010.05.04 16:45:00;2010.05.04 17:37:05;Sell;EURUSD;0.50;1.30423;1.30319;0.00;0.00;39.90;39.90;10659.87;52;161348;sl 1.30319
45;2010.05.04 17:05:00;2010.05.04 20:55:38;Sell;EURUSD;0.50;1.30249;1.30064;0.00;0.00;71.12;71.12;10730.99;230;161348;sl 1.30063
47;2010.05.06 15:00:00;2010.05.06 16:57:35;Sell;EURUSD;0.50;1.27096;1.26998;0.00;0.00;38.58;38.58;10769.57;117;161348;sl 1.26996
49;2010.05.13 22:35:00;2010.05.14 10:26:02;Sell;EURUSD;0.50;1.25230;1.25047;0.00;1.08;73.17;74.25;10843.82;711;161348;sl 1.25045
51;2010.05.25 04:10:00;2010.05.25 07:34:29;Sell;EURUSD;0.50;1.22959;1.22820;0.00;0.00;56.59;56.59;10900.41;204;161348;sl 1.22819
53;2010.05.25 10:10:00;2010.05.25 10:58:37;Sell;EURUSD;0.50;1.22215;1.22036;0.00;0.00;73.34;73.34;10973.75;48;161348;sl 1.22035
55;2010.06.03 16:30:00;2010.06.03 18:29:00;Sell;EURUSD;0.50;1.22002;1.21710;0.00;0.00;119.96;119.96;11093.71;119;161348;sl 1.21710
57;2010.06.04 17:50:00;2010.06.04 18:09:34;Sell;EURUSD;0.50;1.20037;1.19837;0.00;0.00;83.45;83.45;11177.16;19;161348;sl 1.19834
59;2010.06.17 12:55:00;2010.06.17 15:18:29;Buy;EURUSD;0.10;1.23817;1.23983;0.00;0.00;13.39;13.39;11190.55;143;161348;sl 1.23984
61;2010.06.29 11:25:00;2010.06.29 16:15:00;Sell;EURUSD;0.50;1.21874;1.21662;0.00;0.00;87.13;87.13;11277.68;290;161348;sl 1.21660
63;2010.07.13 16:15:00;2010.07.13 17:10:41;Buy;EURUSD;0.10;1.26669;1.26908;0.00;0.00;18.83;18.83;11296.51;55;161348;sl 1.26908
65;2010.07.15 11:15:00;2010.07.15 12:36:36;Buy;EURUSD;0.10;1.27961;1.28243;0.00;0.00;21.99;21.99;11318.50;81;161348;sl 1.28243
67;2010.07.20 08:15:00;2010.07.20 08:26:30;Buy;EURUSD;0.10;1.30033;1.30175;0.00;0.00;10.91;10.91;11329.41;11;161348;sl 1.30175
70;2010.07.23 10:45:00;2010.07.26 18:45:05;Buy;EURUSD;0.10;1.29629;1.29887;0.00;-0.66;19.86;19.20;11348.61;4800;161348;sl 1.29888
71;2010.07.26 18:10:00;2010.07.27 04:32:36;Buy;EURUSD;0.10;1.29962;1.30065;0.00;-0.65;7.92;7.27;11355.88;622;161348;sl 1.30067
73;2010.08.03 11:50:00;2010.08.06 14:58:25;Buy;EURUSD;0.10;1.32415;1.32713;0.00;-3.23;22.45;19.22;11375.10;4508;161348;sl 1.32714
75;2010.08.11 17:15:00;2010.08.11 23:20:16;Sell;EURUSD;0.50;1.28734;1.28414;0.00;0.00;124.60;124.60;11499.70;365;161348;sl 1.28413
77;2010.08.12 12:25:00;2010.08.13 13:38:37;Sell;EURUSD;0.50;1.28012;1.27887;0.00;1.05;48.87;49.92;11549.62;1513;161348;sl 1.27885
80;2010.08.20 12:05:00;2010.08.20 12:30:27;Sell;EURUSD;0.50;1.27062;1.26959;0.00;0.00;40.56;40.56;11590.18;25;161348;sl 1.26958
83;2010.08.20 12:25:00;2010.08.20 17:21:26;Sell;EURUSD;0.50;1.26899;1.26782;0.00;0.00;46.14;46.14;11636.32;296;161348;sl 1.26782
